2022-01-29 18:52:35 status half-configured firmware-misc-nonfree:all 1:20190114-2+rpt3
2022-01-29 18:52:35 status unpacked firmware-misc-nonfree:all 1:20190114-2+rpt3
2022-01-29 18:52:35 status half-installed firmware-misc-nonfree:all 1:20190114-2+rpt3
2022-01-29 18:53:10 status unpacked firmware-misc-nonfree:all 1:20190114-2+rpt4
2022-01-29 18:53:10 upgrade firmware-realtek:all 1:20190114-2+rpt3 1:20190114-2+rpt4
2022-01-29 18:53:10 status half-configured firmware-realtek:all 1:20190114-2+rpt3
2022-01-29 18:53:10 status unpacked firmware-realtek:all 1:20190114-2+rpt3
2022-01-29 18:53:10 status half-installed firmware-realtek:all 1:20190114-2+rpt3
2022-01-29 18:53:12 status unpacked firmware-realtek:all 1:20190114-2+rpt4
2022-01-29 18:53:12 upgrade ghostscript:armhf 9.27~dfsg-2+deb10u4 9.27~dfsg-2+deb10u5
2022-01-29 18:53:12 status half-configured ghostscript:armhf 9.27~dfsg-2+deb10u4
2022-01-29 18:53:12 status unpacked ghostscript:armhf 9.27~dfsg-2+deb10u4
2022-01-29 18:53:12 status half-installed ghostscript:armhf 9.27~dfsg-2+deb10u4
2022-01-29 18:53:12 status triggers-pending man-db:armhf 2.8.5-2
2022-01-29 18:53:13 status unpacked ghostscript:armhf 9.27~dfsg-2+deb10u5
2022-01-29 18:53:13 upgrade libgs9:armhf 9.27~dfsg-2+deb10u4 9.27~dfsg-2+deb10u5
2022-01-29 18:53:13 status triggers-pending libc-bin:armhf 2.28-10+rpt2+rpi1
2022-01-29 18:53:13 status half-configured libgs9:armhf 9.27~dfsg-2+deb10u4
2022-01-29 18:53:13 status unpacked libgs9:armhf 9.27~dfsg-2+deb10u4
2022-01-29 18:53:13 status half-installed libgs9:armhf 9.27~dfsg-2+deb10u4
2022-01-29 18:53:17 status unpacked libgs9:armhf 9.27~dfsg-2+deb10u5
2022-01-29 18:53:17 upgrade libgs9-common:all 9.27~dfsg-2+deb10u4 9.27~dfsg-2+deb10u5
2022-01-29 18:53:17 status half-configured libgs9-common:all 9.27~dfsg-2+deb10u4
2022-01-29 18:53:17 status unpacked libgs9-common:all 9.27~dfsg-2+deb10u4
2022-01-29 18:53:17 status half-installed libgs9-common:all 9.27~dfsg-2+deb10u4
2022-01-29 18:53:20 status unpacked libgs9-common:all 9.27~dfsg-2+deb10u5
2022-01-29 18:53:21 upgrade libtiff-dev:armhf 4.1.0+git191117-2~deb10u2 4.1.0+git191117-2~deb10u3
2022-01-29 18:53:21 status half-configured libtiff-dev:armhf 4.1.0+git191117-2~deb10u2
2022-01-29 18:53:21 status unpacked libtiff-dev:armhf 4.1.0+git191117-2~deb10u2
2022-01-29 18:53:21 status half-installed libtiff-dev:armhf 4.1.0+git191117-2~deb10u2
2022-01-29 18:53:23 status unpacked libtiff-dev:armhf 4.1.0+git191117-2~deb10u3
2022-01-29 18:53:24 upgrade libtiffxx5:armhf 4.1.0+git191117-2~deb10u2 4.1.0+git191117-2~deb10u3
2022-01-29 18:53:24 status half-configured libtiffxx5:armhf 4.1.0+git191117-2~deb10u2
2022-01-29 18:53:24 status unpacked libtiffxx5:armhf 4.1.0+git191117-2~deb10u2
2022-01-29 18:53:24 status half-installed libtiffxx5:armhf 4.1.0+git191117-2~deb10u2
2022-01-29 18:53:25 status unpacked libtiffxx5:armhf 4.1.0+git191117-2~deb10u3
2022-01-29 18:53:25 upgrade libtiff5:armhf 4.1.0+git191117-2~deb10u2 4.1.0+git191117-2~deb10u3
2022-01-29 18:53:25 status half-configured libtiff5:armhf 4.1.0+git191117-2~deb10u2
2022-01-29 18:53:25 status unpacked libtiff5:armhf 4.1.0+git191117-2~deb10u2
2022-01-29 18:53:25 status half-installed libtiff5:armhf 4.1.0+git191117-2~deb10u2
2022-01-29 18:53:25 status unpacked libtiff5:armhf 4.1.0+git191117-2~deb10u3
2022-01-29 18:53:27 upgrade gir1.2-polkit-1.0:armhf 0.105-25+rpt1 0.105-25+rpt1+deb10u1
2022-01-29 18:53:27 status half-configured gir1.2-polkit-1.0:armhf 0.105-25+rpt1
2022-01-29 18:53:27 status unpacked gir1.2-polkit-1.0:armhf 0.105-25+rpt1
2022-01-29 18:53:27 status half-installed gir1.2-polkit-1.0:armhf 0.105-25+rpt1
2022-01-29 18:53:27 status unpacked gir1.2-polkit-1.0:armhf 0.105-25+rpt1+deb10u1
2022-01-29 18:53:27 upgrade policykit-1:armhf 0.105-25+rpt1 0.105-25+rpt1+deb10u1
2022-01-29 18:53:27 status half-configured policykit-1:armhf 0.105-25+rpt1
2022-01-29 18:53:27 status unpacked policykit-1:armhf 0.105-25+rpt1
2022-01-29 18:53:27 status half-installed policykit-1:armhf 0.105-25+rpt1
2022-01-29 18:53:28 status triggers-pending dbus:armhf 1.12.20-0+deb10u1
2022-01-29 18:53:29 status unpacked policykit-1:armhf 0.105-25+rpt1+deb10u1
2022-01-29 18:53:29 upgrade libpolkit-backend-1-0:armhf 0.105-25+rpt1 0.105-25+rpt1+deb10u1
2022-01-29 18:53:29 status half-configured libpolkit-backend-1-0:armhf 0.105-25+rpt1
2022-01-29 18:53:29 status unpacked libpolkit-backend-1-0:armhf 0.105-25+rpt1
2022-01-29 18:53:29 status half-installed libpolkit-backend-1-0:armhf 0.105-25+rpt1
2022-01-29 18:53:30 status unpacked libpolkit-backend-1-0:armhf 0.105-25+rpt1+deb10u1
2022-01-29 18:53:30 upgrade libpolkit-agent-1-0:armhf 0.105-25+rpt1 0.105-25+rpt1+deb10u1
2022-01-29 18:53:30 status half-configured libpolkit-agent-1-0:armhf 0.105-25+rpt1
2022-01-29 18:53:31 status unpacked libpolkit-agent-1-0:armhf 0.105-25+rpt1
2022-01-29 18:53:31 status half-installed libpolkit-agent-1-0:armhf 0.105-25+rpt1
2022-01-29 18:53:31 status unpacked libpolkit-agent-1-0:armhf 0.105-25+rpt1+deb10u1
2022-01-29 18:53:31 upgrade libpolkit-gobject-1-0:armhf 0.105-25+rpt1 0.105-25+rpt1+deb10u1
2022-01-29 18:53:31 status half-configured libpolkit-gobject-1-0:armhf 0.105-25+rpt1
2022-01-29 18:53:31 status unpacked libpolkit-gobject-1-0:armhf 0.105-25+rpt1
2022-01-29 18:53:31 status half-installed libpolkit-gobject-1-0:armhf 0.105-25+rpt1
2022-01-29 18:53:31 status unpacked libpolkit-gobject-1-0:armhf 0.105-25+rpt1+deb10u1
2022-01-29 18:53:32 upgrade libicu-dev:armhf 63.1-6+deb10u1 63.1-6+deb10u2
2022-01-29 18:53:32 status half-configured libicu-dev:armhf 63.1-6+deb10u1
2022-01-29 18:53:32 status unpacked libicu-dev:armhf 63.1-6+deb10u1
2022-01-29 18:53:32 status half-installed libicu-dev:armhf 63.1-6+deb10u1
2022-01-29 18:53:56 status unpacked libicu-dev:armhf 63.1-6+deb10u2
2022-01-29 18:53:56 upgrade icu-devtools:armhf 63.1-6+deb10u1 63.1-6+deb10u2
2022-01-29 18:53:56 status half-configured icu-devtools:armhf 63.1-6+deb10u1
2022-01-29 18:53:56 status unpacked icu-devtools:armhf 63.1-6+deb10u1
2022-01-29 18:53:56 status half-installed icu-devtools:armhf 63.1-6+deb10u1
2022-01-29 18:54:00 status unpacked icu-devtools:armhf 63.1-6+deb10u2
2022-01-29 18:54:00 upgrade libicu63:armhf 63.1-6+deb10u1 63.1-6+deb10u2
2022-01-29 18:54:00 status half-configured libicu63:armhf 63.1-6+deb10u1
2022-01-29 18:54:00 status unpacked libicu63:armhf 63.1-6+deb10u1
2022-01-29 18:54:00 status half-installed libicu63:armhf 63.1-6+deb10u1
2022-01-29 18:54:06 status unpacked libicu63:armhf 63.1-6+deb10u2
2022-01-29 18:54:07 upgrade libasound2-dev:armhf 1.1.8-1+rpt1 1.1.8-1+rpt2
2022-01-29 18:54:07 status half-configured libasound2-dev:armhf 1.1.8-1+rpt1
2022-01-29 18:54:07 status unpacked libasound2-dev:armhf 1.1.8-1+rpt1
2022-01-29 18:54:07 status half-installed libasound2-dev:armhf 1.1.8-1+rpt1
2022-01-29 18:54:07 status unpacked libasound2-dev:armhf 1.1.8-1+rpt2
2022-01-29 18:54:08 upgrade libasound2:armhf 1.1.8-1+rpt1 1.1.8-1+rpt2
2022-01-29 18:54:08 status half-configured libasound2:armhf 1.1.8-1+rpt1
2022-01-29 18:54:08 status unpacked libasound2:armhf 1.1.8-1+rpt1
2022-01-29 18:54:08 status half-installed libasound2:armhf 1.1.8-1+rpt1
2022-01-29 18:54:08 status unpacked libasound2:armhf 1.1.8-1+rpt2
2022-01-29 18:54:09 upgrade libasound2-data:all 1.1.8-1+rpt1 1.1.8-1+rpt2
2022-01-29 18:54:09 status half-configured libasound2-data:all 1.1.8-1+rpt1
2022-01-29 18:54:09 status unpacked libasound2-data:all 1.1.8-1+rpt1
2022-01-29 18:54:09 status half-installed libasound2-data:all 1.1.8-1+rpt1
2022-01-29 18:54:12 status unpacked libasound2-data:all 1.1.8-1+rpt2
2022-01-29 18:54:13 upgrade libdjvulibre-text:all 3.5.27.1-10 3.5.27.1-10+deb10u1
2022-01-29 18:54:13 status half-configured libdjvulibre-text:all 3.5.27.1-10
2022-01-29 18:54:13 status unpacked libdjvulibre-text:all 3.5.27.1-10
2022-01-29 18:54:13 status half-installed libdjvulibre-text:all 3.5.27.1-10
2022-01-29 18:54:13 status unpacked libdjvulibre-text:all 3.5.27.1-10+deb10u1
2022-01-29 18:54:14 upgrade libdjvulibre21:armhf 3.5.27.1-10 3.5.27.1-10+deb10u1
2022-01-29 18:54:14 status half-configured libdjvulibre21:armhf 3.5.27.1-10
2022-01-29 18:54:14 status unpacked libdjvulibre21:armhf 3.5.27.1-10
2022-01-29 18:54:14 status half-installed libdjvulibre21:armhf 3.5.27.1-10
2022-01-29 18:54:17 status unpacked libdjvulibre21:armhf 3.5.27.1-10+deb10u1
2022-01-29 18:54:17 upgrade libwebkit2gtk-4.0-37:armhf 2.32.4-1~deb10u1+rpi1 2.34.3-1~deb10u1+rpi1
2022-01-29 18:54:17 status half-configured libwebkit2gtk-4.0-37:armhf 2.32.4-1~deb10u1+rpi1
2022-01-29 18:54:17 status unpacked libwebkit2gtk-4.0-37:armhf 2.32.4-1~deb10u1+rpi1
2022-01-29 18:54:17 status half-installed libwebkit2gtk-4.0-37:armhf 2.32.4-1~deb10u1+rpi1
2022-01-29 18:54:40 status unpacked libwebkit2gtk-4.0-37:armhf 2.34.3-1~deb10u1+rpi1
2022-01-29 18:54:42 upgrade libjavascriptcoregtk-4.0-18:armhf 2.32.4-1~deb10u1+rpi1 2.34.3-1~deb10u1+rpi1
2022-01-29 18:54:42 status half-configured libjavascriptcoregtk-4.0-18:armhf 2.32.4-1~deb10u1+rpi1
2022-01-29 18:54:42 status unpacked libjavascriptcoregtk-4.0-18:armhf 2.32.4-1~deb10u1+rpi1
2022-01-29 18:54:42 status half-installed libjavascriptcoregtk-4.0-18:armhf 2.32.4-1~deb10u1+rpi1
2022-01-29 18:54:44 status unpacked libjavascriptcoregtk-4.0-18:armhf 2.34.3-1~deb10u1+rpi1
2022-01-29 18:54:46 upgrade libnss3:armhf 2:3.42.1-1+deb10u3 2:3.42.1-1+deb10u5
2022-01-29 18:54:46 status half-configured libnss3:armhf 2:3.42.1-1+deb10u3
2022-01-29 18:54:46 status unpacked libnss3:armhf 2:3.42.1-1+deb10u3
2022-01-29 18:54:46 status half-installed libnss3:armhf 2:3.42.1-1+deb10u3
2022-01-29 18:54:49 status unpacked libnss3:armhf 2:3.42.1-1+deb10u5
2022-01-29 18:54:50 upgrade libraspberrypi-doc:armhf 1:1.20211007-2~buster 1:1.20211201~buster-1
2022-01-29 18:54:50 status half-configured libraspberrypi-doc:armhf 1:1.20211007-2~buster
2022-01-29 18:54:50 status unpacked libraspberrypi-doc:armhf 1:1.20211007-2~buster
2022-01-29 18:54:50 status half-installed libraspberrypi-doc:armhf 1:1.20211007-2~buster
2022-01-29 18:54:58 status unpacked libraspberrypi-doc:armhf 1:1.20211201~buster-1
2022-01-29 18:54:58 upgrade libraspberrypi-dev:armhf 1:1.20211007-2~buster 1:1.20211201~buster-1
2022-01-29 18:54:58 status half-configured libraspberrypi-dev:armhf 1:1.20211007-2~buster
2022-01-29 18:54:58 status unpacked libraspberrypi-dev:armhf 1:1.20211007-2~buster
2022-01-29 18:54:58 status half-installed libraspberrypi-dev:armhf 1:1.20211007-2~buster
2022-01-29 18:55:04 status unpacked libraspberrypi-dev:armhf 1:1.20211201~buster-1
2022-01-29 18:55:04 upgrade raspberrypi-kernel:armhf 1:1.20211007-2~buster 1:1.20211201~buster-1
2022-01-29 18:55:04 status half-configured raspberrypi-kernel:armhf 1:1.20211007-2~buster
2022-01-29 18:55:04 status unpacked raspberrypi-kernel:armhf 1:1.20211007-2~buster
2022-01-29 18:55:04 status half-installed raspberrypi-kernel:armhf 1:1.20211007-2~buster
2022-01-29 19:06:14 status unpacked raspberrypi-kernel:armhf 1:1.20211201~buster-1
2022-01-29 19:06:17 upgrade libraspberrypi-bin:armhf 1:1.20211007-2~buster 1:1.20211201~buster-1
2022-01-29 19:06:17 status half-configured libraspberrypi-bin:armhf 1:1.20211007-2~buster
2022-01-29 19:06:17 status unpacked libraspberrypi-bin:armhf 1:1.20211007-2~buster
